Province,Year,Addicted to other drugs,Adhd,Alcoholic,Anxiety Disorder,Autistic Disorder,Dementia,Depression,Epilepsy,Intellectual Disabilities,Learning Disabilities,Male population,Schizophrenia,Self-Harm,Total population,Women population
Nonthaburi,2015,7.344542625,0.253260091,6.500342323,342.407642376,3.798901358,4.643101659,188.509927373,22.877828177,22.118047905,3.545641267,46809.809269826,266.091935101,3.292381177,100000,53190.190730174
Nonthaburi,2016,8.969123791,0.332189770,8.221696809,336.840426831,4.401514453,9.384361004,185.444939130,29.315747207,21.509287611,5.231988878,46778.049896564,430.185752215,5.148941436,100000,53221.950103436
Nonthaburi,2017,81.752900018,198.449231776,138.709875407,325.865913787,100.984062685,65.385953068,290.104134700,42.799566276,31.424538145,24.468585691,46729.761247161,255.897215573,33.470406514,100000,53270.238752839
Nonthaburi,2018,221.468044403,257.035199386,421.079628489,460.034131565,136.703690919,75.570122945,396.884284963,59.762498508,43.551618346,38.147991625,46682.657100366,390.190239921,41.696642009,100000,53317.342899634
Nonthaburi,2019,129.743807718,135.634017394,58.504109615,357.631244219,49.032015678,79.279038336,289.416248382,167.950573181,44.256169995,34.624881201,46639.157795533,229.240592778,20.217746724,100000,53360.842204467
Nonthaburi,2020,61.746314443,91.168001757,36.718265768,200.459762900,30.990843971,49.428434688,307.319331225,110.625544301,40.170410413,23.772723350,46602.226633296,128.357014523,26.911036663,100000,53397.773366704
Nonthaburi,2021,46.078752636,119.555682514,51.138075138,342.710722728,53.161804139,77.213044957,411.984523143,154.737432837,64.759328029,26.619819935,46530.511217296,246.272252262,17.279532238,100000,53469.488782704
Nonthaburi,2022,117.604277082,144.684209305,97.100899827,549.722624123,75.282211579,80.466084319,809.303117287,205.575371188,68.860399081,27.776273337,46461.813427004,712.279588695,15.861103159,100000,53538.186572996
Nonthaburi,2023,111.100866679,172.106460139,71.070748048,517.087712828,81.904235048,121.473354232,566.491486877,216.900239720,78.984571885,37.264121950,46375.238183048,317.090786158,45.485278751,100000,53624.761816952
Pathum Thani,2015,35.989778903,0.092281484,10.981496640,299.453416768,4.983200156,5.998296484,426.432739256,52.785009057,8.213052109,4.706355703,47535.853663713,407.422753476,4.983200156,100000,52464.146336287
Pathum Thani,2016,31.727959040,0.181302623,11.512716566,294.163505958,7.977315416,7.252104923,418.899710641,46.050866264,7.252104923,4.895170823,47523.315517329,485.709727248,6.345591808,100000,52476.684482671
Pathum Thani,2017,69.320781246,197.524079381,113.750316717,259.261506179,35.151078264,31.136361203,476.056227451,29.084394706,27.924587555,14.899061092,47521.492118664,325.638161581,30.154985922,100000,52478.507881336
Pathum Thani,2018,207.285664953,252.802398503,439.174969663,398.930444632,99.117520164,47.889227384,459.472972462,49.031539230,50.085980934,32.863433104,47467.538572796,490.315392301,41.914057729,100000,52532.461427204
Pathum Thani,2019,48.403129665,66.933129215,44.679811998,213.960882651,30.565840379,28.227943239,279.075647424,130.922239809,26.582756363,20.608130340,47445.977258322,237.080087697,13.767616488,100000,52554.022741678
Pathum Thani,2020,36.113473143,37.564842040,18.355547815,136.855549522,19.123919584,15.282060739,261.246401459,66.848343903,18.184798533,11.867075099,47454.555078596,122.854108398,15.282060739,100000,52545.444921404
Pathum Thani,2021,41.028550299,55.042417274,40.606445872,197.713713582,29.969414313,34.106037697,271.159883871,110.760201631,28.956363689,17.221860619,47376.072250771,233.592589872,13.169658121,100000,52623.927749229
Pathum Thani,2022,235.154020866,68.739902259,81.367305229,214.498600114,25.338431125,25.923807421,320.869835727,161.981983790,15.470659268,19.066542232,47360.872779333,190.999923065,7.609891856,100000,52639.127220667
Pathum Thani,2023,137.652163064,89.069046689,57.341297219,317.360119045,49.987730284,61.637763293,368.421965848,146.079846517,38.172448581,24.787304273,47315.245761991,272.081976573,22.886944279,100000,52684.754238009
Pattani,2015,195.883547810,0,7.389098327,924.941249424,4.201644147,11.735626755,358.733479570,116.486961864,15.067965216,1.883495652,49543.324746525,1095.614932354,4.926065551,100000,50456.675253475
Pattani,2016,201.384194062,0.286464003,24.062976246,914.393097363,6.015744062,12.747648131,354.642435632,123.322753263,18.333696188,6.158976063,49561.137147506,733.920775515,5.442816056,100000,50438.862852494
Pattani,2017,31.482707910,170.034985514,420.620322797,584.273678329,25.384705927,22.548425936,218.819001374,44.245967873,13.188701962,9.359723973,49518.612378377,623.130714218,9.785165972,100000,50481.387621623
Pattani,2018,49.332884853,188.782374706,1475.081287140,563.684269537,38.120865568,34.056508577,290.951900437,46.810180514,12.613521695,17.238479650,49491.534925440,479.313824420,13.734723624,100000,50508.465074560
Pattani,2019,464.110067906,42.796183522,38.087218345,489.593879453,15.373386314,26.037807450,292.232838938,141.961450195,30.746772628,12.049410895,49493.855492939,365.914294064,7.063447766,100000,50506.144507061
Pattani,2020,415.207383423,21.476243970,14.455164211,220.819841847,8.397762065,15.694178286,316.774598559,62.639044913,13.078481905,9.086103218,49380.492962400,189.706821736,9.086103218,100000,50619.507037600
Pattani,2021,289.179578185,38.291932754,17.979366275,405.427847156,17.567625063,30.194355577,254.318822201,142.187965353,25.939696382,18.802848700,49392.887582297,371.116079455,7.274094753,100000,50607.112417703
Pattani,2022,443.955262654,37.189969646,352.347616834,399.792173699,25.841559791,25.841559791,267.439634663,142.196942766,24.200825836,24.747737154,49420.000546911,367.661133747,5.058929695,100000,50579.999453089
Pattani,2023,378.659125209,78.451100627,55.609185713,681.858352935,39.973351099,47.995214075,386.545024405,210.335966499,46.771540062,56.696895947,49447.307237352,521.421093421,19.578784212,100000,50552.692762648
Phangnga,2015,75.101978575,0.762456635,56.803019328,616.446189623,1.524913271,4.193511494,438.793793603,81.964088292,4.955968129,4.574739812,49976.363844306,794.861042278,5.337196447,100000,50023.636155694
Phangnga,2016,108.388188331,0.755318386,76.664816137,610.674914743,4.154251121,7.175524663,434.685730903,101.212663668,4.154251121,4.531910313,49894.444255615,790.063031319,3.398932735,100000,50105.555744385
Phangnga,2017,214.450676344,277.811103446,599.862031733,643.352029033,109.474820791,98.227407696,497.885486338,145.091628925,276.311448367,22.119912420,49926.141987343,790.693140578,14.246723254,100000,50073.858012657
Phangnga,2018,212.989764555,371.519799469,627.778938259,701.262272090,207.767598699,94.745009101,578.541374474,148.085703202,234.997463519,69.007191668,49905.628002745,630.017009340,40.658291307,100000,50094.371997255
Phangnga,2019,216.363968138,168.696863281,118.795362884,488.960224035,35.377929386,91.237817889,522.848556394,269.244662588,87.886224579,190.296020169,49908.575982482,399.584402430,20.854358375,100000,50091.424017518
Phangnga,2020,98.107345788,13.006655692,59.087378713,203.647066256,4.459424809,15.607986830,604.623680289,96.249252117,9.290468351,4.831043543,49918.801306611,241.552177128,32.330829862,100000,50081.198693389
Phangnga,2021,156.496272035,215.368679134,120.725695570,522.026850289,36.888406980,93.152542878,661.383054435,288.400272751,87.563390305,131.158780372,49888.775863804,439.680002385,27.573152692,100000,50111.224136196
Phangnga,2022,223.426950969,156.921938808,113.581593804,518.589645394,22.043796166,73.230238110,717.357434550,269.009037956,30.637140434,59.032538885,49896.319433288,466.282332458,13.450451898,100000,50103.680566712
Phangnga,2023,390.452445662,233.971983259,167.336762427,758.069225759,52.035369077,137.013993396,876.739815668,424.893121598,82.732493280,122.414141641,49927.749451570,573.137770191,58.773762195,100000,50072.250548430
Phatthalung,2015,85.115519396,0.383403241,87.415938840,984.004416805,8.818274532,25.879718735,500.916333745,188.442692718,13.994218279,11.885500456,48874.711489061,803.421490518,18.595057165,100000,51125.288510939
Phatthalung,2016,122.289863338,0.574130814,86.310999007,982.337822398,18.754939917,30.237556193,500.067938813,216.830070676,19.711824607,8.994716083,48783.895247919,805.505531750,8.994716083,100000,51216.104752081
Phatthalung,2017,125.680850739,313.534626123,310.864623224,811.490166761,33.947179714,37.570755077,427.963321789,21.932166669,22.695024640,6.865721740,48777.901530293,571.189905863,24.792884061,100000,51222.098469707
Phatthalung,2018,108.951758371,287.807879193,454.854543688,765.328960025,65.713910206,59.428231839,458.473570627,23.428437552,26.285564082,27.809364899,48766.197526490,459.425946137,37.142644899,100000,51233.802473510
Phatthalung,2019,200.343173383,56.179882270,92.363535257,656.066760744,16.949184820,41.325540517,478.957301385,217.673238761,14.854341753,19.424908446,48726.430634985,304.514005930,24.566795976,100000,51273.569365015
Phatthalung,2020,116.946812057,57.330603305,59.235274511,582.257987715,15.237369649,45.902576068,517.689633827,178.848626256,13.523165564,17.142040855,48738.060092377,260.939955240,21.903718871,100000,51261.939907623
Phatthalung,2021,115.345328227,78.427171763,83.783173737,703.740402236,19.702435833,59.872450639,565.632065619,224.569511341,22.189151035,24.484580453,48713.794383084,328.437692481,26.014866731,100000,51286.205616916
Phatthalung,2022,159.797666264,121.285279071,78.366001801,788.450115920,24.716905214,51.924661340,665.248797685,267.862275105,19.926807304,45.793336016,48666.053534134,326.109865686,15.136709394,100000,51333.946465866
Phatthalung,2023,236.126376525,142.328002747,123.721781363,1076.667222935,35.102458898,112.212778446,820.400091305,329.732933587,33.376108461,79.220303416,48662.366135910,464.004634292,62.724065901,100000,51337.633864090
Phayao,2015,42.900665271,1.243497544,76.889598143,747.963772772,2.279745498,9.118981990,582.785848998,83.107085864,9.326231581,20.103210296,48875.256471368,667.758181178,5.181239767,100000,51124.743528632
Phayao,2016,45.218884406,1.250291735,78.559997333,752.050478445,3.959257160,10.210715834,585.970059681,84.603074051,11.044243657,18.337612109,48885.781682393,773.097055980,6.043076718,100000,51114.218317607
Phayao,2017,461.795139638,370.943330661,694.576733145,675.108488364,52.752663277,72.220908058,635.125318976,59.032742238,82.478370361,27.632347431,48865.085063670,709.439586687,28.888363223,100000,51134.914936330
Phayao,2018,398.492621791,366.966306776,678.866649993,615.814019962,100.463857182,86.802454008,692.107702299,65.364559798,70.618945634,47.079297089,48836.573888224,535.947355257,41.824911253,100000,51163.426111776
Phayao,2019,71.597986808,114.683500994,333.490327936,503.720349669,57.447352247,48.154398207,675.639999409,312.158774344,37.171816160,98.843238426,48819.900438670,338.559211957,38.227833665,100000,51180.099561330
Phayao,2020,1699.837249625,60.632492634,347.626291100,319.543873459,42.549117638,32.337329405,726.313438075,148.283674967,27.018689700,40.634407344,48733.206395132,235.509366125,52.548160283,100000,51266.793604868
Phayao,2021,201.464375385,126.505881772,359.328251620,557.785696029,63.575112062,83.979286541,786.312450198,345.582281444,55.413442270,56.057784622,48665.244817877,359.757813188,46.177868558,100000,51334.755182123
Phayao,2022,199.587864021,158.763073653,313.638072033,622.740056247,58.105124915,52.921024551,855.592564272,328.542360580,37.800731822,43.416840550,48591.868738579,437.408468228,14.256276002,100000,51408.131261421
Phayao,2023,266.668986788,252.095722421,514.196969631,896.582025727,105.275521701,153.345542974,1132.364392512,487.878089206,84.176915079,86.569540572,48553.549133652,544.431055409,99.837736489,100000,51446.450866348
Phetchabun,2015,45.567643360,0.100369259,66.344079870,575.818436026,11.642833986,11.241356952,340.251786322,104.685136618,14.754281000,12.746895830,49605.900106492,686.626097412,7.226586612,100000,50394.099893508
Phetchabun,2016,31.354042410,0.401974903,71.752520131,576.532504193,13.164678063,14.370602771,340.673730036,115.467290800,19.395289055,16.882945913,49575.966724518,512.216519762,8.340979231,100000,50424.033275482
Phetchabun,2017,341.085707454,260.109247893,311.749322601,478.524661150,45.210182137,43.401774851,477.218589221,51.037272279,68.317608562,17.380803355,49504.446170245,663.082671339,35.464876209,100000,50495.553829755
Phetchabun,2018,254.160010215,279.596118832,494.043627450,475.946791280,79.223927235,44.638862554,404.665364365,60.222249256,76.207787873,27.245792234,49470.818348985,515.357678940,42.628102979,100000,50529.181651015
Phetchabun,2019,64.444603318,76.125187670,201.490080062,271.372196786,24.166726244,24.670199708,391.299575773,225.455416921,50.951514499,78.038386831,49460.830268019,325.344552065,29.906323727,100000,50539.169731981
Phetchabun,2020,105.321032429,52.256987354,93.820459922,207.312951763,16.342918825,27.439962472,389.102703139,114.501313991,35.712304099,36.922890679,49397.380088877,215.181764531,26.330258107,100000,50602.619911123
Phetchabun,2021,89.823323647,72.777306546,169.133235548,239.052527251,23.476550499,56.037505321,400.224150021,217.209128091,41.032927393,40.522567600,49329.540339348,335.408456253,22.149615036,100000,50670.459660652
Phetchabun,2022,175.220948592,84.380831300,151.536899953,300.510591178,29.220579490,30.040806283,455.020813255,229.458445260,52.699571432,30.553448028,49255.541657268,372.280435540,10.355363258,100000,50744.458342732
Phetchabun,2023,255.521174552,132.038170473,260.159517777,435.695040271,50.300255418,112.144831752,558.353450000,313.861224894,82.356360818,55.350895819,49199.009662184,459.505202160,53.907855704,100000,50800.990337816
Phetchaburi,2015,42.663909275,0,23.118374484,399.737711533,5.254176019,24.589543769,374.938000723,130.513732314,16.182862139,24.799710810,48404.201659479,652.568661572,2.942338571,100000,51595.798340521
Phetchaburi,2016,50.026055237,9.171443460,25.221469515,396.456487754,23.553934341,24.179260031,371.860343929,127.357998958,26.263678999,10.005211047,48446.899426785,1269.828035435,20.427305888,100000,51553.100573215
